	mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
24	2023/01/16 13:32:34.421	1.12283e-10	2023/01/16 13:32:37.672	3.98e-14	2023/01/16 13:32:37.922	4.01e-14	2023/01/16 13:32:38.172	3.167e-13	2023/01/16 13:32:38.422	1.779e-13	2023/01/16 13:32:38.672	6.926e-13	2023/01/16 13:32:38.923	1.7149e-12	2023/01/16 13:32:39.173	1.6143e-12	2023/01/16 13:32:39.423	1.92e-13	2023/01/16 13:32:39.673	2.53e-14	2023/01/16 13:32:40.424	2.4725e-11
25	2023/01/16 13:32:40.816	1.12224e-10	2023/01/16 13:32:44.067	2.56e-14	2023/01/16 13:32:44.317	3.62e-14	2023/01/16 13:32:44.567	3.285e-13	2023/01/16 13:32:44.817	1.817e-13	2023/01/16 13:32:45.067	7.142e-13	2023/01/16 13:32:45.318	1.7158e-12	2023/01/16 13:32:45.568	1.5876e-12	2023/01/16 13:32:45.818	1.795e-13	2023/01/16 13:32:46.068	4.07e-14	2023/01/16 13:32:46.819	2.44025e-11
26	2023/01/16 13:32:47.211	1.11531e-10	2023/01/16 13:32:50.462	3.56e-14	2023/01/16 13:32:50.712	3.02e-14	2023/01/16 13:32:50.962	3.322e-13	2023/01/16 13:32:51.212	1.556e-13	2023/01/16 13:32:51.462	7.343e-13	2023/01/16 13:32:51.712	1.7626e-12	2023/01/16 13:32:51.963	1.6838e-12	2023/01/16 13:32:52.213	1.794e-13	2023/01/16 13:32:52.463	3.05e-14	2023/01/16 13:32:53.214	2.44025e-11
27	2023/01/16 13:32:53.606	1.12074e-10	2023/01/16 13:32:56.857	4.49e-14	2023/01/16 13:32:57.107	2.19e-14	2023/01/16 13:32:57.357	3.022e-13	2023/01/16 13:32:57.607	1.921e-13	2023/01/16 13:32:57.857	7.234e-13	2023/01/16 13:32:58.107	1.7843e-12	2023/01/16 13:32:58.358	1.6707e-12	2023/01/16 13:32:58.608	1.721e-13	2023/01/16 13:32:58.858	2.87e-14	2023/01/16 13:32:59.609	2.41337e-11
28	2023/01/16 13:33:00.001	1.11939e-10	2023/01/16 13:33:03.252	2.7e-14	2023/01/16 13:33:03.502	4.12e-14	2023/01/16 13:33:03.752	3.214e-13	2023/01/16 13:33:04.002	1.789e-13	2023/01/16 13:33:04.252	7.091e-13	2023/01/16 13:33:04.502	1.77e-12	2023/01/16 13:33:04.753	1.5813e-12	2023/01/16 13:33:05.003	2.037e-13	2023/01/16 13:33:05.253	2.8e-14	2023/01/16 13:33:06.004	2.39725e-11
29	2023/01/16 13:33:06.396	1.11628e-10	2023/01/16 13:33:09.647	4.79e-14	2023/01/16 13:33:09.897	2.69e-14	2023/01/16 13:33:10.147	3.338e-13	2023/01/16 13:33:10.397	1.704e-13	2023/01/16 13:33:10.647	7.429e-13	2023/01/16 13:33:10.897	1.712e-12	2023/01/16 13:33:11.148	1.6158e-12	2023/01/16 13:33:11.398	1.782e-13	2023/01/16 13:33:11.648	3.72e-14	2023/01/16 13:33:12.399	2.408e-11
30	2023/01/16 13:33:12.791	1.12224e-10	2023/01/16 13:33:16.042	2.32e-14	2023/01/16 13:33:16.292	3.21e-14	2023/01/16 13:33:16.542	3.459e-13	2023/01/16 13:33:16.792	1.858e-13	2023/01/16 13:33:17.042	7.016e-13	2023/01/16 13:33:17.292	1.6872e-12	2023/01/16 13:33:17.543	1.5962e-12	2023/01/16 13:33:17.793	1.749e-13	2023/01/16 13:33:18.043	1.94e-14	2023/01/16 13:33:18.794	2.39187e-11
31	2023/01/16 13:33:19.186	1.1202e-10	2023/01/16 13:33:22.437	3.57e-14	2023/01/16 13:33:22.687	3.69e-14	2023/01/16 13:33:22.937	3.395e-13	2023/01/16 13:33:23.187	1.875e-13	2023/01/16 13:33:23.437	7.029e-13	2023/01/16 13:33:23.687	1.6989e-12	2023/01/16 13:33:23.938	1.618e-12	2023/01/16 13:33:24.188	1.934e-13	2023/01/16 13:33:24.438	2.28e-14	2023/01/16 13:33:25.189	2.37575e-11
32	2023/01/16 13:33:25.581	1.12267e-10	2023/01/16 13:33:28.832	4.02e-14	2023/01/16 13:33:29.082	4.29e-14	2023/01/16 13:33:29.332	3.512e-13	2023/01/16 13:33:29.582	1.887e-13	2023/01/16 13:33:29.832	7.322e-13	2023/01/16 13:33:30.082	1.7198e-12	2023/01/16 13:33:30.333	1.6505e-12	2023/01/16 13:33:30.583	1.81e-13	2023/01/16 13:33:30.833	2.92e-14	2023/01/16 13:33:31.584	2.3865e-11
33	2023/01/16 13:33:31.976	1.11902e-10	2023/01/16 13:33:35.227	3.39e-14	2023/01/16 13:33:35.477	3.16e-14	2023/01/16 13:33:35.727	3.409e-13	2023/01/16 13:33:35.977	1.872e-13	2023/01/16 13:33:36.227	7.434e-13	2023/01/16 13:33:36.477	1.7341e-12	2023/01/16 13:33:36.728	1.6057e-12	2023/01/16 13:33:36.978	2.054e-13	2023/01/16 13:33:37.228	2.22e-14	2023/01/16 13:33:37.979	2.3865e-11
34	2023/01/16 13:33:38.371	1.1181e-10	2023/01/16 13:33:41.622	2.39e-14	2023/01/16 13:33:41.872	3.81e-14	2023/01/16 13:33:42.122	3.537e-13	2023/01/16 13:33:42.372	1.767e-13	2023/01/16 13:33:42.622	6.858e-13	2023/01/16 13:33:42.872	1.7689e-12	2023/01/16 13:33:43.123	1.6516e-12	2023/01/16 13:33:43.373	1.747e-13	2023/01/16 13:33:43.623	3.78e-14	2023/01/16 13:33:44.374	2.408e-11
35	2023/01/16 13:33:44.766	1.12316e-10	2023/01/16 13:33:48.017	3.59e-14	2023/01/16 13:33:48.267	2.18e-14	2023/01/16 13:33:48.517	3.381e-13	2023/01/16 13:33:48.767	1.647e-13	2023/01/16 13:33:49.017	7e-13	2023/01/16 13:33:49.267	1.7174e-12	2023/01/16 13:33:49.518	1.6051e-12	2023/01/16 13:33:49.768	2.003e-13	2023/01/16 13:33:50.018	3.59e-14	2023/01/16 13:33:50.769	2.38112e-11
36	2023/01/16 13:33:51.161	1.11542e-10	2023/01/16 13:33:54.412	1.91e-14	2023/01/16 13:33:54.662	3.22e-14	2023/01/16 13:33:54.912	3.251e-13	2023/01/16 13:33:55.162	1.865e-13	2023/01/16 13:33:55.412	7.075e-13	2023/01/16 13:33:55.662	1.7647e-12	2023/01/16 13:33:55.913	1.6134e-12	2023/01/16 13:33:56.163	1.753e-13	2023/01/16 13:33:56.413	2.96e-14	2023/01/16 13:33:57.164	2.39187e-11
37	2023/01/16 13:33:57.556	1.11676e-10	2023/01/16 13:34:00.807	3.32e-14	2023/01/16 13:34:01.057	3.37e-14	2023/01/16 13:34:01.307	3.175e-13	2023/01/16 13:34:01.557	1.756e-13	2023/01/16 13:34:01.807	7.267e-13	2023/01/16 13:34:02.057	1.7367e-12	2023/01/16 13:34:02.308	1.6192e-12	2023/01/16 13:34:02.558	1.987e-13	2023/01/16 13:34:02.808	2.94e-14	2023/01/16 13:34:03.559	2.408e-11
38	2023/01/16 13:34:03.951	1.11665e-10	2023/01/16 13:34:07.202	3.12e-14	2023/01/16 13:34:07.452	2.84e-14	2023/01/16 13:34:07.702	3.411e-13	2023/01/16 13:34:07.952	1.605e-13	2023/01/16 13:34:08.202	6.725e-13	2023/01/16 13:34:08.452	1.6794e-12	2023/01/16 13:34:08.703	1.6341e-12	2023/01/16 13:34:08.953	1.727e-13	2023/01/16 13:34:09.203	3.47e-14	2023/01/16 13:34:09.954	2.408e-11
39	2023/01/16 13:34:10.346	1.11687e-10	2023/01/16 13:34:13.597	2.31e-14	2023/01/16 13:34:13.847	3.59e-14	2023/01/16 13:34:14.097	3.087e-13	2023/01/16 13:34:14.347	1.843e-13	2023/01/16 13:34:14.597	7.339e-13	2023/01/16 13:34:14.847	1.7345e-12	2023/01/16 13:34:15.098	1.6345e-12	2023/01/16 13:34:15.348	2.074e-13	2023/01/16 13:34:15.598	3.23e-14	2023/01/16 13:34:16.349	2.37037e-11
40	2023/01/16 13:34:16.741	1.1231e-10	2023/01/16 13:34:19.992	2.46e-14	2023/01/16 13:34:20.242	3.33e-14	2023/01/16 13:34:20.492	3.296e-13	2023/01/16 13:34:20.742	1.489e-13	2023/01/16 13:34:20.992	7.361e-13	2023/01/16 13:34:21.243	1.7468e-12	2023/01/16 13:34:21.493	1.614e-12	2023/01/16 13:34:21.743	1.784e-13	2023/01/16 13:34:21.993	2.54e-14	2023/01/16 13:34:22.744	2.37575e-11
41	2023/01/16 13:34:23.136	1.11923e-10	2023/01/16 13:34:26.387	5e-14	2023/01/16 13:34:26.637	3.01e-14	2023/01/16 13:34:26.887	3.429e-13	2023/01/16 13:34:27.137	1.764e-13	2023/01/16 13:34:27.387	6.91e-13	2023/01/16 13:34:27.637	1.678e-12	2023/01/16 13:34:27.888	1.6005e-12	2023/01/16 13:34:28.138	1.889e-13	2023/01/16 13:34:28.388	4.82e-14	2023/01/16 13:34:29.139	2.38112e-11
42	2023/01/16 13:34:29.531	1.11832e-10	2023/01/16 13:34:32.782	3.02e-14	2023/01/16 13:34:33.032	4.1e-14	2023/01/16 13:34:33.282	3.371e-13	2023/01/16 13:34:33.532	1.803e-13	2023/01/16 13:34:33.782	6.964e-13	2023/01/16 13:34:34.033	1.7409e-12	2023/01/16 13:34:34.283	1.6107e-12	2023/01/16 13:34:34.533	1.786e-13	2023/01/16 13:34:34.783	3.35e-14	2023/01/16 13:34:35.534	2.3865e-11
43	2023/01/16 13:34:35.926	1.11278e-10	2023/01/16 13:34:39.177	3.96e-14	2023/01/16 13:34:39.427	3.5e-14	2023/01/16 13:34:39.677	3.197e-13	2023/01/16 13:34:39.927	1.939e-13	2023/01/16 13:34:40.177	7.267e-13	2023/01/16 13:34:40.427	1.6663e-12	2023/01/16 13:34:40.678	1.5991e-12	2023/01/16 13:34:40.928	1.678e-13	2023/01/16 13:34:41.178	3.49e-14	2023/01/16 13:34:41.929	2.37037e-11
44	2023/01/16 13:34:42.321	1.11848e-10	2023/01/16 13:34:45.572	4.05e-14	2023/01/16 13:34:45.822	2.97e-14	2023/01/16 13:34:46.072	3.492e-13	2023/01/16 13:34:46.322	1.896e-13	2023/01/16 13:34:46.572	7.22e-13	2023/01/16 13:34:46.822	1.7858e-12	2023/01/16 13:34:47.073	1.6085e-12	2023/01/16 13:34:47.323	2.047e-13	2023/01/16 13:34:47.573	3.72e-14	2023/01/16 13:34:48.324	2.3865e-11
