	Timestamp, mass 2	mass 2.0_value	Timestamp, mass 4	mass 4.0_value	Timestamp, mass 5.5	mass 5.5_value	Timestamp, mass 12	mass 12.0_value	Timestamp, mass 15	mass 15.0_value	Timestamp, mass 16	mass 16.0_value	Timestamp, mass 18	mass 18.0_value	Timestamp, mass 28	mass 28.0_value	Timestamp, mass 32	mass 32.0_value	Timestamp, mass 40	mass 40.0_value	Timestamp, mass 44	mass 44.0_value
23	2022-12-13 17:36:56.833	2.03949e-11	2022-12-13 17:36:56.833	9.922e-13	2022-12-13 17:36:56.833	1.17e-14	2022-12-13 17:36:56.833	1.738e-13	2022-12-13 17:36:56.833	2.34e-14	2022-12-13 17:36:56.834	4.381e-13	2022-12-13 17:36:56.833	8.322e-13	2022-12-13 17:36:56.833	8.474e-13	2022-12-13 17:36:56.834	2.32e-14	2022-12-13 17:36:56.833	1.81e-14	2022-12-13 17:34:31.358	
24	2022-12-13 17:37:03.158	2.05029e-11	2022-12-13 17:37:03.158	9.824e-13	2022-12-13 17:37:03.158	2.11e-14	2022-12-13 17:37:03.158	1.709e-13	2022-12-13 17:37:03.158	2.86e-14	2022-12-13 17:37:03.159	4.642e-13	2022-12-13 17:37:03.158	8.693e-13	2022-12-13 17:37:03.158	8.717e-13	2022-12-13 17:37:03.159	2.31e-14	2022-12-13 17:37:03.158	2.23e-14	2022-12-13 17:34:31.358	
25	2022-12-13 17:37:09.483	2.03836e-11	2022-12-13 17:37:09.483	1.0131e-12	2022-12-13 17:37:09.483	1.67e-14	2022-12-13 17:37:09.483	1.713e-13	2022-12-13 17:37:09.483	3.71e-14	2022-12-13 17:37:09.484	4.847e-13	2022-12-13 17:37:09.483	8.453e-13	2022-12-13 17:37:09.484	9.15e-13	2022-12-13 17:37:09.484	3.13e-14	2022-12-13 17:37:09.483	2.16e-14	2022-12-13 17:34:31.358	
26	2022-12-13 17:37:15.808	2.04518e-11	2022-12-13 17:37:15.808	9.987e-13	2022-12-13 17:37:15.808	1.2e-14	2022-12-13 17:37:15.808	1.636e-13	2022-12-13 17:37:15.808	3.78e-14	2022-12-13 17:37:15.809	4.311e-13	2022-12-13 17:37:15.808	8.451e-13	2022-12-13 17:37:15.808	8.916e-13	2022-12-13 17:37:15.809	1.98e-14	2022-12-13 17:37:15.808	1.53e-14	2022-12-13 17:34:31.358	
27	2022-12-13 17:37:22.133	2.05309e-11	2022-12-13 17:37:22.133	9.977e-13	2022-12-13 17:37:22.133	1.68e-14	2022-12-13 17:37:22.133	1.689e-13	2022-12-13 17:37:22.133	1.93e-14	2022-12-13 17:37:22.134	4.516e-13	2022-12-13 17:37:22.133	8.146e-13	2022-12-13 17:37:22.133	8.73e-13	2022-12-13 17:37:22.134	3.69e-14	2022-12-13 17:37:22.133	1.98e-14	2022-12-13 17:34:31.358	
28	2022-12-13 17:37:28.458	2.04341e-11	2022-12-13 17:37:28.458	1.0059e-12	2022-12-13 17:37:28.458	1.97e-14	2022-12-13 17:37:28.458	1.579e-13	2022-12-13 17:37:28.458	3.13e-14	2022-12-13 17:37:28.459	4.293e-13	2022-12-13 17:37:28.458	8.323e-13	2022-12-13 17:37:28.458	8.928e-13	2022-12-13 17:37:28.459	3.37e-14	2022-12-13 17:37:28.458	1.52e-14	2022-12-13 17:34:31.358	
29	2022-12-13 17:37:34.783	2.04443e-11	2022-12-13 17:37:34.783	1.0034e-12	2022-12-13 17:37:34.783	2.13e-14	2022-12-13 17:37:34.783	1.593e-13	2022-12-13 17:37:34.783	3.1e-14	2022-12-13 17:37:34.784	4.127e-13	2022-12-13 17:37:34.783	8.581e-13	2022-12-13 17:37:34.784	8.934e-13	2022-12-13 17:37:34.784	2.86e-14	2022-12-13 17:37:34.783	1.21e-14	2022-12-13 17:34:31.358	
30	2022-12-13 17:37:41.108	2.04787e-11	2022-12-13 17:37:41.108	9.788e-13	2022-12-13 17:37:41.108	2.23e-14	2022-12-13 17:37:41.108	1.85e-13	2022-12-13 17:37:41.108	2.1e-14	2022-12-13 17:37:41.109	4.436e-13	2022-12-13 17:37:41.108	8.719e-13	2022-12-13 17:37:41.108	8.6e-13	2022-12-13 17:37:41.109	2.93e-14	2022-12-13 17:37:41.108	1.84e-14	2022-12-13 17:34:31.358	
31	2022-12-13 17:37:47.433	2.03395e-11	2022-12-13 17:37:47.433	9.899e-13	2022-12-13 17:37:47.433	2.08e-14	2022-12-13 17:37:47.433	1.797e-13	2022-12-13 17:37:47.433	3.34e-14	2022-12-13 17:37:47.434	4.191e-13	2022-12-13 17:37:47.433	8.574e-13	2022-12-13 17:37:47.433	8.523e-13	2022-12-13 17:37:47.434	2.68e-14	2022-12-13 17:37:47.433	1.69e-14	2022-12-13 17:34:31.358	
32	2022-12-13 17:37:53.758	2.03814e-11	2022-12-13 17:37:53.758	9.844e-13	2022-12-13 17:37:53.758	2.2e-14	2022-12-13 17:37:53.758	1.741e-13	2022-12-13 17:37:53.758	2.85e-14	2022-12-13 17:37:53.759	4.501e-13	2022-12-13 17:37:53.758	8.445e-13	2022-12-13 17:37:53.759	9.271e-13	2022-12-13 17:37:53.759	3.54e-14	2022-12-13 17:37:53.758	2.29e-14	2022-12-13 17:34:31.358	
