ASCII SAMPLE CYCLES :			primary desorption, grid transparent.mdc
DATE :	10/10/2022	TIME :	11:07:25 pm
CONVERTED CYCLES :			342
Number of stored cycles			342
Printed start cycle			1
Printed end cycle			342
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	2.00	min:	5.42403E-011	max:	4.44756E-010	
'0/1'	12.00	min:	3.2688E-012	max:	4.03904E-011	
'0/2'	14.00	min:	9.29889E-013	max:	1.87264E-011	ABS A,B	T_min:	5E-007	T_max:	1E-008	
'0/3'	15.00	min:	9.06687E-013	max:	4.04757E-011	
'0/4'	16.00	min:	8.11101E-012	max:	6.56082E-011	ABS A AND B	T_min:	5E-007	
'0/5'	18.00	min:	7.8933E-011	max:	1.16332E-010	ABS A,B	T_min:	5E-007	T_max:	1E-008	
'0/6'	28.00	min:	1.27286E-011	max:	1.68787E-010	ABS A AND B	T_min:	5E-007	
'0/7'	32.00	min:	3.46187E-013	max:	7.19024E-013	ABS A	T_min:	5E-007	
'0/8'	40.00	min:	3.7658E-013	max:	2.57386E-012	ABS B	T_min:	5E-007	
'0/9'	44.00	min:	6.51938E-012	max:	5.15873E-011	ABS A,B	T_min:	5E-007	T_max:	1E-008	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	Threshold	'0/3'	'0/4'	Threshold	'0/5'	Threshold	'0/6'	Threshold	'0/7'	Threshold	'0/8'	Threshold	'0/9'	Threshold	
47	10/10/2022	11:15:56:94 pm	511.947	4.41162E-010	4.03671E-011	1.85486E-011	HL	4.01387E-011	6.45434E-011	L	1.14115E-010	HL	1.67581E-010	L	6.58617E-013	H	2.49127E-012	L	5.05435E-011	HL	
48	10/10/2022	11:16:07:95 pm	522.956	4.4106E-010	4.01076E-011	1.85247E-011	HL	3.99616E-011	6.48818E-011	L	1.14794E-010	HL	1.67214E-010	L	6.8234E-013	H	2.52948E-012	L	5.00661E-011	HL	
49	10/10/2022	11:16:19:03 pm	534.032	4.39998E-010	4.01329E-011	1.8402E-011	HL	4.00017E-011	6.49709E-011	L	1.14783E-010	HL	1.67414E-010	L	6.9409E-013	H	2.46596E-012	L	5.02056E-011	HL	
50	10/10/2022	11:16:30:12 pm	545.121	4.41884E-010	4.03904E-011	1.87264E-011	HL	3.98004E-011	6.5195E-011	L	1.14968E-010	HL	1.67897E-010	L	6.78378E-013	H	2.45071E-012	L	5.00734E-011	HL	
51	10/10/2022	11:16:41:25 pm	556.259	4.42388E-010	4.02035E-011	1.8567E-011	HL	4.01467E-011	6.44794E-011	L	1.14771E-010	HL	1.67949E-010	L	6.6995E-013	H	2.478E-012	L	5.02516E-011	HL	
52	10/10/2022	11:16:52:26 pm	567.266	4.42784E-010	4.02865E-011	1.83525E-011	HL	3.99082E-011	6.47829E-011	L	1.14779E-010	HL	1.68098E-010	L	6.722E-013	H	2.4544E-012	L	5.003E-011	HL	
53	10/10/2022	11:17:03:34 pm	578.344	4.39815E-010	4.027E-011	1.83976E-011	HL	3.98224E-011	6.50862E-011	L	1.15229E-010	HL	1.67665E-010	L	6.84911E-013	H	2.56367E-012	L	5.00652E-011	HL	
54	10/10/2022	11:17:14:42 pm	589.422	4.36474E-010	3.99765E-011	1.82362E-011	HL	3.97222E-011	6.45291E-011	L	1.14255E-010	HL	1.67327E-010	L	6.53614E-013	H	2.50435E-012	L	4.9774E-011	HL	
55	10/10/2022	11:17:25:44 pm	600.44	4.37153E-010	3.98423E-011	1.81015E-011	HL	3.97221E-011	6.43684E-011	L	1.14101E-010	HL	1.68037E-010	L	6.69832E-013	H	2.56298E-012	L	4.99878E-011	HL	
56	10/10/2022	11:17:36:51 pm	611.518	4.36589E-010	4.00093E-011	1.81503E-011	HL	3.98733E-011	6.43998E-011	L	1.1426E-010	HL	1.67549E-010	L	7.16952E-013	H	2.49671E-012	L	4.98217E-011	HL	
57	10/10/2022	11:17:47:59 pm	622.595	4.36875E-010	4.00071E-011	1.81836E-011	HL	3.95826E-011	6.44937E-011	L	1.143E-010	HL	1.67597E-010	L	6.84513E-013	H	2.47617E-012	L	4.96353E-011	HL	
58	10/10/2022	11:17:58:67 pm	633.673	4.35977E-010	4.0079E-011	1.83093E-011	HL	3.93714E-011	6.39136E-011	L	1.14125E-010	HL	1.67682E-010	L	6.93629E-013	H	2.48359E-012	L	4.94779E-011	HL	
59	10/10/2022	11:18:09:69 pm	644.691	4.34062E-010	4.00114E-011	1.8093E-011	HL	3.97429E-011	6.42318E-011	L	1.145E-010	HL	1.6755E-010	L	7.19024E-013	H	2.43838E-012	L	4.95699E-011	HL	
60	10/10/2022	11:18:20:76 pm	655.769	4.34182E-010	4.01489E-011	1.78235E-011	HL	3.94564E-011	6.39309E-011	L	1.13807E-010	HL	1.67229E-010	L	6.77665E-013	H	2.52182E-012	L	4.96689E-011	HL	
61	10/10/2022	11:18:31:77 pm	666.776	4.35272E-010	3.9773E-011	1.82027E-011	HL	3.92219E-011	6.33406E-011	L	1.14642E-010	HL	1.6712E-010	L	6.79653E-013	H	2.46454E-012	L	4.95641E-011	HL	
