	Live comments	Elapsed time	Coverage	Time	Base_p corrected BA1	Base_p corrected BA2	H2 4K BA2	H2 4K BA1	corr BA2	corr BA1	injection 100mbar	Barion_2	Barion_1	DUAL experiment	DUAL insulation	injection 1mbar	helium	T-platinum	T-CERNOX	I_emission	I_grid
687		388.0	268544624160780.94	2022-12-14 16:31:21	9.5735e-10	3.3229999999999994e-09	1.2282608695652173e-07	1.2130434782608693e-07	1.2282608695652173e-07	1.2130434782608693e-07	96.306	5.65e-08	5.58e-08	3.643e-08	3.406e-07	1.1	405.0	-5.05	4285.168		
688		395.0	274382550773001.84	2022-12-14 16:31:28	9.5735e-10	3.3229999999999994e-09	1.226086956521739e-07	1.2130434782608693e-07	1.226086956521739e-07	1.2130434782608693e-07	96.305	5.64e-08	5.58e-08	3.639e-08	3.402e-07	1.1	406.0	-5.163	4285.392		
689		402.0	274382550773001.84	2022-12-14 16:31:35	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.305	5.63e-08	5.58e-08	3.63e-08	3.406e-07	1.1	405.0	-5.275	4285.729		
690		409.0	291896330609558.4	2022-12-14 16:31:42	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.302	5.63e-08	5.58e-08	3.63e-08	3.406e-07	1.1	405.0	-5.05	4285.729		
691		417.0	315248037058335.75	2022-12-14 16:31:50	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.306	5.63e-08	5.58e-08	3.635e-08	3.406e-07	1.1	405.0	-5.275	4286.066		
692		424.0	315248037058335.75	2022-12-14 16:31:57	9.5735e-10	3.3229999999999994e-09	1.226086956521739e-07	1.2130434782608693e-07	1.226086956521739e-07	1.2130434782608693e-07	96.306	5.64e-08	5.58e-08	3.639e-08	3.406e-07	1.1	405.0	-5.163	4286.066		
693		431.0	315248037058335.75	2022-12-14 16:32:04	9.5735e-10	3.3229999999999994e-09	1.226086956521739e-07	1.2152173913043476e-07	1.226086956521739e-07	1.2152173913043476e-07	96.306	5.64e-08	5.59e-08	3.639e-08	3.406e-07	1.1	405.0	-5.275	4286.29		
694		438.0	315248037058335.75	2022-12-14 16:32:11	9.5735e-10	3.3229999999999994e-09	1.226086956521739e-07	1.2152173913043476e-07	1.226086956521739e-07	1.2152173913043476e-07	96.306	5.64e-08	5.59e-08	3.639e-08	3.41e-07	1.1	405.0	-4.938	4286.403		
695		445.0	321085963670556.7	2022-12-14 16:32:18	9.5735e-10	3.3229999999999994e-09	1.226086956521739e-07	1.2130434782608693e-07	1.226086956521739e-07	1.2130434782608693e-07	96.305	5.64e-08	5.58e-08	3.639e-08	3.414e-07	1.1	405.0	-5.163	4286.515		
696		452.0	326923890282777.56	2022-12-14 16:32:25	9.5735e-10	3.3229999999999994e-09	1.226086956521739e-07	1.2130434782608693e-07	1.226086956521739e-07	1.2130434782608693e-07	96.306	5.64e-08	5.58e-08	3.635e-08	3.439e-07	1.1	405.0	-5.163	4286.852		
697		460.00000000000006	332761816894998.44	2022-12-14 16:32:33	9.5735e-10	3.3229999999999994e-09	1.226086956521739e-07	1.2130434782608693e-07	1.226086956521739e-07	1.2130434782608693e-07	96.305	5.64e-08	5.58e-08	3.635e-08	3.439e-07	1.1	405.0	-5.275	4286.852		
698		467.00000000000006	338599743507219.4	2022-12-14 16:32:40	9.5735e-10	3.3229999999999994e-09	1.226086956521739e-07	1.2152173913043476e-07	1.226086956521739e-07	1.2152173913043476e-07	96.306	5.64e-08	5.59e-08	3.63e-08	3.439e-07	1.1	405.0	-5.387	4286.852		
699		474.00000000000006	338599743507219.4	2022-12-14 16:32:47	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.306	5.63e-08	5.58e-08	3.626e-08	3.439e-07	1.1	405.0	-5.05	4286.852		
700		481.00000000000006	338599743507219.4	2022-12-14 16:32:54	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.306	5.63e-08	5.58e-08	3.626e-08	3.439e-07	1.1	405.0	-5.163	4286.964		
701		488.00000000000006	338599743507219.4	2022-12-14 16:33:01	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.306	5.63e-08	5.58e-08	3.63e-08	3.443e-07	1.1	405.0	-5.163	4287.188		
702		495.00000000000006	338599743507219.4	2022-12-14 16:33:08	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2108695652173913e-07	1.2239130434782608e-07	1.2108695652173913e-07	96.306	5.63e-08	5.57e-08	3.63e-08	3.443e-07	1.1	405.0	-5.163	4287.525		
703		503.00000000000006	338599743507219.4	2022-12-14 16:33:16	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.306	5.63e-08	5.58e-08	3.63e-08	3.443e-07	1.1	405.0	-5.163	4287.413		
704		510.00000000000006	338599743507219.4	2022-12-14 16:33:23	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.306	5.63e-08	5.58e-08	3.63e-08	3.443e-07	1.1	405.0	-5.275	4287.413		
705		517.0	338599743507219.4	2022-12-14 16:33:30	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.306	5.63e-08	5.58e-08	3.63e-08	3.448e-07	1.1	405.0	-5.163	4287.637		
706		524.0	338599743507219.4	2022-12-14 16:33:37	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.306	5.63e-08	5.58e-08	3.63e-08	3.448e-07	1.1	405.0	-5.163	4287.637		
707		531.0	344437670119440.25	2022-12-14 16:33:44	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.305	5.63e-08	5.58e-08	3.63e-08	3.448e-07	1.1	405.0	-5.163	4287.637		
708		538.0	350275596731661.2	2022-12-14 16:33:51	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.306	5.63e-08	5.58e-08	3.635e-08	3.456e-07	1.1	405.0	-5.163	4287.974		
709		546.0	350275596731661.2	2022-12-14 16:33:59	9.5735e-10	3.3229999999999994e-09	1.2239130434782608e-07	1.2130434782608693e-07	1.2239130434782608e-07	1.2130434782608693e-07	96.306	5.63e-08	5.58e-08	3.63e-08	3.456e-07	1.1	405.0	-5.163	4287.637		
