	Timestamp, mass 2	mass 2.0_value	Timestamp, mass 4	mass 4.0_value	Timestamp, mass 5.5	mass 5.5_value	Timestamp, mass 12	mass 12.0_value	Timestamp, mass 15	mass 15.0_value	Timestamp, mass 16	mass 16.0_value	Timestamp, mass 18	mass 18.0_value	Timestamp, mass 28	mass 28.0_value	Timestamp, mass 32	mass 32.0_value	Timestamp, mass 40	mass 40.0_value	Timestamp, mass 44	mass 44.0_value
27	2022-12-13 17:37:22.133		2022-12-13 17:37:22.133		2022-12-13 17:37:22.133		2022-12-13 17:37:22.133		2022-12-13 17:37:22.133		2022-12-13 17:37:22.134		2022-12-13 17:37:22.133		2022-12-13 17:37:22.133		2022-12-13 17:37:22.134		2022-12-13 17:37:22.133		2022-12-13 17:34:31.358	
28	2022-12-13 17:37:28.458		2022-12-13 17:37:28.458		2022-12-13 17:37:28.458		2022-12-13 17:37:28.458		2022-12-13 17:37:28.458		2022-12-13 17:37:28.459		2022-12-13 17:37:28.458		2022-12-13 17:37:28.458		2022-12-13 17:37:28.459		2022-12-13 17:37:28.458		2022-12-13 17:34:31.358	
29	2022-12-13 17:37:34.783		2022-12-13 17:37:34.783		2022-12-13 17:37:34.783		2022-12-13 17:37:34.783		2022-12-13 17:37:34.783		2022-12-13 17:37:34.784		2022-12-13 17:37:34.783		2022-12-13 17:37:34.784		2022-12-13 17:37:34.784		2022-12-13 17:37:34.783		2022-12-13 17:34:31.358	
30	2022-12-13 17:37:41.108		2022-12-13 17:37:41.108		2022-12-13 17:37:41.108		2022-12-13 17:37:41.108		2022-12-13 17:37:41.108		2022-12-13 17:37:41.109		2022-12-13 17:37:41.108		2022-12-13 17:37:41.108		2022-12-13 17:37:41.109		2022-12-13 17:37:41.108		2022-12-13 17:34:31.358	
31	2022-12-13 17:37:47.433		2022-12-13 17:37:47.433		2022-12-13 17:37:47.433		2022-12-13 17:37:47.433		2022-12-13 17:37:47.433		2022-12-13 17:37:47.434		2022-12-13 17:37:47.433		2022-12-13 17:37:47.433		2022-12-13 17:37:47.434		2022-12-13 17:37:47.433		2022-12-13 17:34:31.358	
32	2022-12-13 17:37:53.758		2022-12-13 17:37:53.758		2022-12-13 17:37:53.758		2022-12-13 17:37:53.758		2022-12-13 17:37:53.758		2022-12-13 17:37:53.759		2022-12-13 17:37:53.758		2022-12-13 17:37:53.759		2022-12-13 17:37:53.759		2022-12-13 17:37:53.758		2022-12-13 17:34:31.358	
33	2022-12-13 17:38:00.083		2022-12-13 17:38:00.083		2022-12-13 17:38:00.083		2022-12-13 17:38:00.083		2022-12-13 17:38:00.083		2022-12-13 17:38:00.084		2022-12-13 17:38:00.083		2022-12-13 17:38:00.083		2022-12-13 17:38:00.084		2022-12-13 17:38:00.083		2022-12-13 17:34:31.358	
34	2022-12-13 17:38:06.408		2022-12-13 17:38:06.408		2022-12-13 17:38:06.408		2022-12-13 17:38:06.408		2022-12-13 17:38:06.408		2022-12-13 17:38:06.409		2022-12-13 17:38:06.408		2022-12-13 17:38:06.408		2022-12-13 17:38:06.409		2022-12-13 17:38:06.408		2022-12-13 17:34:31.358	
35	2022-12-13 17:38:12.733		2022-12-13 17:38:12.733		2022-12-13 17:38:12.733		2022-12-13 17:38:12.733		2022-12-13 17:38:12.733		2022-12-13 17:38:12.734		2022-12-13 17:38:12.733		2022-12-13 17:38:12.734		2022-12-13 17:38:12.734		2022-12-13 17:38:12.733		2022-12-13 17:34:31.358	
36	2022-12-13 17:38:19.058		2022-12-13 17:38:19.058		2022-12-13 17:38:19.058		2022-12-13 17:38:19.058		2022-12-13 17:38:19.058		2022-12-13 17:38:19.059		2022-12-13 17:38:19.058		2022-12-13 17:38:19.059		2022-12-13 17:38:19.059		2022-12-13 17:38:19.058		2022-12-13 17:34:31.358	
