F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	5.50
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/11/17 16:10:43.501	0.00000000001877030000	2022/11/17 16:10:43.751	0.00000000000048336000	2022/11/17 16:10:44.002	0.00000000000038591600	2022/11/17 16:10:44.252	0.00000000000069729000	2022/11/17 16:10:44.502	0.00000000000103324000	2022/11/17 16:10:44.752	0.00000000000256071000	2022/11/17 16:10:45.002	0.00000000000014954000	2022/11/17 16:10:45.503	0.00000000000082335500
2022/11/17 16:10:45.824	0.00000000001863920000	2022/11/17 16:10:46.074	0.00000000000052239800	2022/11/17 16:10:46.324	0.00000000000031729300	2022/11/17 16:10:46.574	0.00000000000069880600	2022/11/17 16:10:46.824	0.00000000000107216000	2022/11/17 16:10:47.075	0.00000000000257705000	2022/11/17 16:10:47.325	0.00000000000008592150	2022/11/17 16:10:47.575	0.00000000000000409209	2022/11/17 16:10:47.825	0.00000000000083433100
2022/11/17 16:10:48.146	0.00000000001868650000	2022/11/17 16:10:48.396	0.00000000000049046000	2022/11/17 16:10:48.646	0.00000000000033950800	2022/11/17 16:10:48.897	0.00000000000070574500	2022/11/17 16:10:49.147	0.00000000000110306000	2022/11/17 16:10:49.397	0.00000000000251443000	2022/11/17 16:10:49.647	0.00000000000003270100	2022/11/17 16:10:49.897	0.00000000000000105360	2022/11/17 16:10:50.148	0.00000000000084241500
2022/11/17 16:10:50.469	0.00000000001855320000	2022/11/17 16:10:50.719	0.00000000000050761200	2022/11/17 16:10:50.969	0.00000000000035397200	2022/11/17 16:10:51.219	0.00000000000075199700	2022/11/17 16:10:51.469	0.00000000000112397000	2022/11/17 16:10:51.720	0.00000000000252491000	2022/11/17 16:10:51.970	0.00000000000003712840	2022/11/17 16:10:52.220	0.00000000000000798897	2022/11/17 16:10:52.470	0.00000000000084354900
2022/11/17 16:10:52.791	0.00000000001867570000	2022/11/17 16:10:53.041	0.00000000000049881800	2022/11/17 16:10:53.292	0.00000000000038744300	2022/11/17 16:10:53.542	0.00000000000067287700	2022/11/17 16:10:53.792	0.00000000000106474000	2022/11/17 16:10:54.042	0.00000000000260489000	2022/11/17 16:10:54.292	0.00000000000002900900	2022/11/17 16:10:54.542	0.00000000000000267578	2022/11/17 16:10:54.793	0.00000000000082775800
2022/11/17 16:10:55.114	0.00000000001885090000	2022/11/17 16:10:55.364	0.00000000000050988000	2022/11/17 16:10:55.614	0.00000000000032914000	2022/11/17 16:10:55.864	0.00000000000072019300	2022/11/17 16:10:56.114	0.00000000000110742000	2022/11/17 16:10:56.365	0.00000000000255259000	2022/11/17 16:10:56.615	0.00000000000005027460	2022/11/17 16:10:56.865	0.00000000000000863505	2022/11/17 16:10:57.115	0.00000000000082562900
2022/11/17 16:10:57.436	0.00000000001858270000	2022/11/17 16:10:57.686	0.00000000000050695000	2022/11/17 16:10:57.936	0.00000000000035990100	2022/11/17 16:10:58.187	0.00000000000068790500	2022/11/17 16:10:58.437	0.00000000000112865000	2022/11/17 16:10:58.687	0.00000000000252524000	2022/11/17 16:10:58.937	0.00000000000004453300	2022/11/17 16:10:59.187	0.00000000000001829980	2022/11/17 16:10:59.438	0.00000000000075930100
2022/11/17 16:10:59.759	0.00000000001858270000	2022/11/17 16:11:00.009	0.00000000000054530600	2022/11/17 16:11:00.259	0.00000000000036300800	2022/11/17 16:11:00.509	0.00000000000070390100	2022/11/17 16:11:00.759	0.00000000000110532000	2022/11/17 16:11:01.010	0.00000000000252158000	2022/11/17 16:11:01.260	0.00000000000004865620	2022/11/17 16:11:01.760	0.00000000000084002900
2022/11/17 16:11:02.081	0.00000000001872840000	2022/11/17 16:11:02.331	0.00000000000051962500	2022/11/17 16:11:02.582	0.00000000000036330400	2022/11/17 16:11:02.832	0.00000000000071140500	2022/11/17 16:11:03.082	0.00000000000109721000	2022/11/17 16:11:03.332	0.00000000000256786000	2022/11/17 16:11:03.582	0.00000000000003215760	2022/11/17 16:11:03.832	0.00000000000000380614	2022/11/17 16:11:04.083	0.00000000000078291900
2022/11/17 16:11:04.404	0.00000000001860800000	2022/11/17 16:11:04.654	0.00000000000052246300	2022/11/17 16:11:04.904	0.00000000000035315000	2022/11/17 16:11:05.154	0.00000000000068024600	2022/11/17 16:11:05.404	0.00000000000108216000	2022/11/17 16:11:05.655	0.00000000000254803000	2022/11/17 16:11:05.905	0.00000000000002732550	2022/11/17 16:11:06.155	0.00000000000001263130	2022/11/17 16:11:06.405	0.00000000000082005000
