F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	2.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/12/13 17:36:25.208	0.00000000002050830000	2022/12/13 17:36:25.458	0.00000000000100491000	2022/12/13 17:36:25.708	0.00000000000002229870	2022/12/13 17:36:25.958	0.00000000000017816500	2022/12/13 17:36:26.208	0.00000000000003235750	2022/12/13 17:36:26.459	0.00000000000046772200	2022/12/13 17:36:26.709	0.00000000000084674500	2022/12/13 17:36:26.959	0.00000000000090253200	2022/12/13 17:36:27.210	0.00000000000002368540	2022/12/13 17:36:27.460	0.00000000000001477910
2022/12/13 17:36:31.533	0.00000000002039490000	2022/12/13 17:36:31.783	0.00000000000099222500	2022/12/13 17:36:32.033	0.00000000000001177010	2022/12/13 17:36:32.283	0.00000000000017384900	2022/12/13 17:36:32.533	0.00000000000002342690	2022/12/13 17:36:32.784	0.00000000000043814300	2022/12/13 17:36:33.034	0.00000000000083229200	2022/12/13 17:36:33.285	0.00000000000084745500	2022/12/13 17:36:33.535	0.00000000000002321080	2022/12/13 17:36:33.785	0.00000000000001815460
2022/12/13 17:36:37.858	0.00000000002050290000	2022/12/13 17:36:38.108	0.00000000000098249600	2022/12/13 17:36:38.358	0.00000000000002119360	2022/12/13 17:36:38.608	0.00000000000017096800	2022/12/13 17:36:38.858	0.00000000000002863740	2022/12/13 17:36:39.109	0.00000000000046422200	2022/12/13 17:36:39.359	0.00000000000086932600	2022/12/13 17:36:39.609	0.00000000000087178700	2022/12/13 17:36:39.860	0.00000000000002317210	2022/12/13 17:36:40.110	0.00000000000002236270
2022/12/13 17:36:44.183	0.00000000002038360000	2022/12/13 17:36:44.433	0.00000000000101318000	2022/12/13 17:36:44.683	0.00000000000001673610	2022/12/13 17:36:44.933	0.00000000000017137100	2022/12/13 17:36:45.183	0.00000000000003712350	2022/12/13 17:36:45.434	0.00000000000048478700	2022/12/13 17:36:45.684	0.00000000000084533200	2022/12/13 17:36:45.934	0.00000000000091506200	2022/12/13 17:36:46.185	0.00000000000003139210	2022/12/13 17:36:46.435	0.00000000000002163540
2022/12/13 17:36:50.508	0.00000000002045180000	2022/12/13 17:36:50.758	0.00000000000099872900	2022/12/13 17:36:51.008	0.00000000000001207110	2022/12/13 17:36:51.258	0.00000000000016369000	2022/12/13 17:36:51.508	0.00000000000003785660	2022/12/13 17:36:51.759	0.00000000000043119800	2022/12/13 17:36:52.009	0.00000000000084516000	2022/12/13 17:36:52.259	0.00000000000089160000	2022/12/13 17:36:52.510	0.00000000000001986170	2022/12/13 17:36:52.760	0.00000000000001533270
2022/12/13 17:36:56.833	0.00000000002053090000	2022/12/13 17:36:57.083	0.00000000000099770800	2022/12/13 17:36:57.333	0.00000000000001681830	2022/12/13 17:36:57.583	0.00000000000016890900	2022/12/13 17:36:57.833	0.00000000000001934940	2022/12/13 17:36:58.084	0.00000000000045160700	2022/12/13 17:36:58.334	0.00000000000081461400	2022/12/13 17:36:58.585	0.00000000000087307200	2022/12/13 17:36:58.835	0.00000000000003699720	2022/12/13 17:36:59.085	0.00000000000001982670
2022/12/13 17:37:03.158	0.00000000002043410000	2022/12/13 17:37:03.408	0.00000000000100593000	2022/12/13 17:37:03.658	0.00000000000001973000	2022/12/13 17:37:03.908	0.00000000000015798700	2022/12/13 17:37:04.158	0.00000000000003131900	2022/12/13 17:37:04.409	0.00000000000042930600	2022/12/13 17:37:04.659	0.00000000000083238300	2022/12/13 17:37:04.909	0.00000000000089282000	2022/12/13 17:37:05.160	0.00000000000003378780	2022/12/13 17:37:05.410	0.00000000000001524720
2022/12/13 17:37:09.483	0.00000000002044430000	2022/12/13 17:37:09.733	0.00000000000100345000	2022/12/13 17:37:09.983	0.00000000000002131780	2022/12/13 17:37:10.233	0.00000000000015935200	2022/12/13 17:37:10.483	0.00000000000003106320	2022/12/13 17:37:10.734	0.00000000000041273000	2022/12/13 17:37:10.984	0.00000000000085819400	2022/12/13 17:37:11.234	0.00000000000089348100	2022/12/13 17:37:11.485	0.00000000000002860030	2022/12/13 17:37:11.735	0.00000000000001210120
2022/12/13 17:37:15.808	0.00000000002047870000	2022/12/13 17:37:16.058	0.00000000000097889500	2022/12/13 17:37:16.308	0.00000000000002232290	2022/12/13 17:37:16.558	0.00000000000018501800	2022/12/13 17:37:16.808	0.00000000000002103180	2022/12/13 17:37:17.059	0.00000000000044365800	2022/12/13 17:37:17.309	0.00000000000087198600	2022/12/13 17:37:17.559	0.00000000000086009700	2022/12/13 17:37:17.810	0.00000000000002935390	2022/12/13 17:37:18.060	0.00000000000001842650
2022/12/13 17:37:22.133	0.00000000002033950000	2022/12/13 17:37:22.383	0.00000000000098991400	2022/12/13 17:37:22.633	0.00000000000002082490	2022/12/13 17:37:22.883	0.00000000000017975000	2022/12/13 17:37:23.133	0.00000000000003349050	2022/12/13 17:37:23.384	0.00000000000041913700	2022/12/13 17:37:23.634	0.00000000000085744200	2022/12/13 17:37:23.885	0.00000000000085231400	2022/12/13 17:37:24.135	0.00000000000002688890	2022/12/13 17:37:24.385	0.00000000000001691560
