F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	2.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/11/24 16:40:32.955	0.00000000002412060000	2022/11/24 16:40:33.205	0.00000000000114155000	2022/11/24 16:40:33.456	0.00000000000024756900	2022/11/24 16:40:33.706	0.00000000000048545000	2022/11/24 16:40:33.956	0.00000000000113359000	2022/11/24 16:40:34.206	0.00000000000142513000	2022/11/24 16:40:34.456	0.00000000000003663450	2022/11/24 16:40:34.707	0.00000000000000323639	2022/11/24 16:40:34.957	0.00000000000059875600
2022/11/24 16:40:35.278	0.00000000002437640000	2022/11/24 16:40:35.528	0.00000000000115036000	2022/11/24 16:40:35.778	0.00000000000024376900	2022/11/24 16:40:36.028	0.00000000000046534300	2022/11/24 16:40:36.278	0.00000000000115343000	2022/11/24 16:40:36.529	0.00000000000143588000	2022/11/24 16:40:36.779	0.00000000000002345330	2022/11/24 16:40:37.279	0.00000000000063140900
2022/11/24 16:40:37.600	0.00000000002448610000	2022/11/24 16:40:37.850	0.00000000000115547000	2022/11/24 16:40:38.101	0.00000000000022452100	2022/11/24 16:40:38.351	0.00000000000047772100	2022/11/24 16:40:38.601	0.00000000000113424000	2022/11/24 16:40:38.851	0.00000000000141739000	2022/11/24 16:40:39.101	0.00000000000003819700	2022/11/24 16:40:39.602	0.00000000000058899500
2022/11/24 16:40:39.923	0.00000000002442050000	2022/11/24 16:40:40.173	0.00000000000118498000	2022/11/24 16:40:40.423	0.00000000000023563600	2022/11/24 16:40:40.673	0.00000000000045835000	2022/11/24 16:40:40.923	0.00000000000115778000	2022/11/24 16:40:41.174	0.00000000000147695000	2022/11/24 16:40:41.424	0.00000000000001627560	2022/11/24 16:40:41.674	0.00000000000000161475	2022/11/24 16:40:41.924	0.00000000000063226300
2022/11/24 16:40:42.245	0.00000000002458070000	2022/11/24 16:40:42.495	0.00000000000116278000	2022/11/24 16:40:42.746	0.00000000000023198100	2022/11/24 16:40:42.996	0.00000000000046839000	2022/11/24 16:40:43.246	0.00000000000113558000	2022/11/24 16:40:43.496	0.00000000000142626000	2022/11/24 16:40:43.746	0.00000000000001744250	2022/11/24 16:40:44.247	0.00000000000062318500
2022/11/24 16:40:44.568	0.00000000002429530000	2022/11/24 16:40:44.818	0.00000000000117654000	2022/11/24 16:40:45.068	0.00000000000023435200	2022/11/24 16:40:45.318	0.00000000000047613600	2022/11/24 16:40:45.568	0.00000000000112768000	2022/11/24 16:40:45.819	0.00000000000137778000	2022/11/24 16:40:46.069	0.00000000000002409830	2022/11/24 16:40:46.569	0.00000000000061334900
2022/11/24 16:40:46.890	0.00000000002445980000	2022/11/24 16:40:47.140	0.00000000000117100000	2022/11/24 16:40:47.391	0.00000000000022834300	2022/11/24 16:40:47.641	0.00000000000050080100	2022/11/24 16:40:47.891	0.00000000000112838000	2022/11/24 16:40:48.141	0.00000000000140896000	2022/11/24 16:40:48.391	0.00000000000001278720	2022/11/24 16:40:48.892	0.00000000000062209400
2022/11/24 16:40:49.213	0.00000000002452270000	2022/11/24 16:40:49.463	0.00000000000116111000	2022/11/24 16:40:49.713	0.00000000000020418200	2022/11/24 16:40:49.963	0.00000000000048568200	2022/11/24 16:40:50.213	0.00000000000114698000	2022/11/24 16:40:50.464	0.00000000000141842000	2022/11/24 16:40:50.714	0.00000000000001849280	2022/11/24 16:40:50.964	0.00000000000000191898	2022/11/24 16:40:51.214	0.00000000000060695200
2022/11/24 16:40:51.535	0.00000000002446460000	2022/11/24 16:40:51.785	0.00000000000117977000	2022/11/24 16:40:52.036	0.00000000000024842900	2022/11/24 16:40:52.286	0.00000000000047014200	2022/11/24 16:40:52.536	0.00000000000115563000	2022/11/24 16:40:52.786	0.00000000000143938000	2022/11/24 16:40:53.036	0.00000000000002151300	2022/11/24 16:40:53.287	0.00000000000000073111	2022/11/24 16:40:53.537	0.00000000000062663000
2022/11/24 16:40:53.858	0.00000000002447590000	2022/11/24 16:40:54.108	0.00000000000117568000	2022/11/24 16:40:54.358	0.00000000000025442200	2022/11/24 16:40:54.608	0.00000000000046531000	2022/11/24 16:40:54.858	0.00000000000116525000	2022/11/24 16:40:55.109	0.00000000000136805000	2022/11/24 16:40:55.359	0.00000000000002888100	2022/11/24 16:40:55.859	0.00000000000061907300
