F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	32.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/12/12 16:35:27.449	0.00000000002363810000	2022/12/12 16:35:27.699	0.00000000000108198000	2022/12/12 16:35:28.200	0.00000000000036877800	2022/12/12 16:35:28.450	0.00000000000021816600	2022/12/12 16:35:28.700	0.00000000000135390000	2022/12/12 16:35:28.950	0.00000000000378249000	2022/12/12 16:35:29.200	0.00000000000410569000	2022/12/12 16:35:29.451	0.00000000000020855500	2022/12/12 16:35:30.452	0.00000000000161250000
2022/12/12 16:35:33.774	0.00000000002367580000	2022/12/12 16:35:34.024	0.00000000000111224000	2022/12/12 16:35:34.274	0.00000000000000269878	2022/12/12 16:35:34.525	0.00000000000050592200	2022/12/12 16:35:34.775	0.00000000000020537300	2022/12/12 16:35:35.025	0.00000000000137965000	2022/12/12 16:35:35.275	0.00000000000377427000	2022/12/12 16:35:35.525	0.00000000000412574000	2022/12/12 16:35:35.776	0.00000000000021290900	2022/12/12 16:35:36.777	0.00000000000145125000
2022/12/12 16:35:40.099	0.00000000002377570000	2022/12/12 16:35:40.349	0.00000000000107430000	2022/12/12 16:35:40.850	0.00000000000051013000	2022/12/12 16:35:41.100	0.00000000000013706200	2022/12/12 16:35:41.350	0.00000000000136347000	2022/12/12 16:35:41.600	0.00000000000382017000	2022/12/12 16:35:41.850	0.00000000000413208000	2022/12/12 16:35:42.101	0.00000000000020579200	2022/12/12 16:35:42.351	0.00000000000000746319	2022/12/12 16:35:43.102	0.00000000000188125000
2022/12/12 16:35:46.424	0.00000000002358330000	2022/12/12 16:35:46.674	0.00000000000109107000	2022/12/12 16:35:47.175	0.00000000000049293000	2022/12/12 16:35:47.425	0.00000000000020952300	2022/12/12 16:35:47.675	0.00000000000134686000	2022/12/12 16:35:47.925	0.00000000000378142000	2022/12/12 16:35:48.175	0.00000000000402657000	2022/12/12 16:35:48.426	0.00000000000021901500	2022/12/12 16:35:48.676	0.00000000000000014512	2022/12/12 16:35:49.427	0.00000000000150500000
2022/12/12 16:35:52.749	0.00000000002367150000	2022/12/12 16:35:52.999	0.00000000000111020000	2022/12/12 16:35:53.500	0.00000000000035844200	2022/12/12 16:35:53.750	0.00000000000022421800	2022/12/12 16:35:54.000	0.00000000000137648000	2022/12/12 16:35:54.250	0.00000000000378206000	2022/12/12 16:35:54.500	0.00000000000406495000	2022/12/12 16:35:54.751	0.00000000000021273100	2022/12/12 16:35:55.752	0.00000000000134375000
2022/12/12 16:35:59.074	0.00000000002382360000	2022/12/12 16:35:59.324	0.00000000000110536000	2022/12/12 16:35:59.825	0.00000000000046172800	2022/12/12 16:36:00.075	0.00000000000020492200	2022/12/12 16:36:00.325	0.00000000000135568000	2022/12/12 16:36:00.575	0.00000000000378824000	2022/12/12 16:36:00.825	0.00000000000410806000	2022/12/12 16:36:01.076	0.00000000000020673800	2022/12/12 16:36:02.077	0.00000000000161250000
2022/12/12 16:36:05.399	0.00000000002370910000	2022/12/12 16:36:05.649	0.00000000000107177000	2022/12/12 16:36:06.150	0.00000000000044596400	2022/12/12 16:36:06.400	0.00000000000019380600	2022/12/12 16:36:06.650	0.00000000000137809000	2022/12/12 16:36:06.900	0.00000000000387102000	2022/12/12 16:36:07.150	0.00000000000409392000	2022/12/12 16:36:07.401	0.00000000000019813800	2022/12/12 16:36:08.402	0.00000000000145125000
2022/12/12 16:36:11.724	0.00000000002379190000	2022/12/12 16:36:11.974	0.00000000000109182000	2022/12/12 16:36:12.475	0.00000000000050373900	2022/12/12 16:36:12.725	0.00000000000020334700	2022/12/12 16:36:12.975	0.00000000000140233000	2022/12/12 16:36:13.225	0.00000000000373697000	2022/12/12 16:36:13.475	0.00000000000413058000	2022/12/12 16:36:13.726	0.00000000000021847700	2022/12/12 16:36:14.727	0.00000000000166625000
2022/12/12 16:36:18.049	0.00000000002384620000	2022/12/12 16:36:18.299	0.00000000000109762000	2022/12/12 16:36:18.800	0.00000000000049468300	2022/12/12 16:36:19.050	0.00000000000023603200	2022/12/12 16:36:19.300	0.00000000000132047000	2022/12/12 16:36:19.550	0.00000000000369106000	2022/12/12 16:36:19.800	0.00000000000409817000	2022/12/12 16:36:20.051	0.00000000000021649400	2022/12/12 16:36:21.052	0.00000000000150500000
2022/12/12 16:36:24.374	0.00000000002384670000	2022/12/12 16:36:24.624	0.00000000000109107000	2022/12/12 16:36:25.125	0.00000000000048845300	2022/12/12 16:36:25.375	0.00000000000021748800	2022/12/12 16:36:25.625	0.00000000000138707000	2022/12/12 16:36:25.875	0.00000000000374347000	2022/12/12 16:36:26.125	0.00000000000413144000	2022/12/12 16:36:26.376	0.00000000000021333900	2022/12/12 16:36:27.377	0.00000000000182750000
