	Timestamp, mass 2	mass 2.0_value	Timestamp, mass 4	mass 4.0_value	Timestamp, mass 5.5	mass 5.5_value	Timestamp, mass 12	mass 12.0_value	Timestamp, mass 15	mass 15.0_value	Timestamp, mass 16	mass 16.0_value	Timestamp, mass 18	mass 18.0_value	Timestamp, mass 28	mass 28.0_value	Timestamp, mass 32	mass 32.0_value	Timestamp, mass 40	mass 40.0_value	Timestamp, mass 44	mass 44.0_value
22	2023-01-12 17:17:06.169	6.05198e-11	2023-01-12 17:17:03.168	9.4e-14	2023-01-12 17:17:03.168	1.211e-13	2023-01-12 17:17:03.168	3.448e-13	2023-01-12 17:17:03.167	1.971e-13	2023-01-12 17:17:03.168	6.539e-13	2023-01-12 17:17:03.168	1.2521e-12	2023-01-12 17:17:03.168	2.0392e-12	2023-01-12 17:17:03.169	1.828e-13	2023-01-12 17:17:02.417	3.24e-14	2023-01-12 17:14:44.017	2.408e-11
23	2023-01-12 17:17:12.494	6.08009e-11	2023-01-12 17:17:09.493	1.011e-13	2023-01-12 17:17:09.493	1.265e-13	2023-01-12 17:17:09.493	3.432e-13	2023-01-12 17:17:09.492	1.937e-13	2023-01-12 17:17:09.492	6.075e-13	2023-01-12 17:17:09.493	1.3391e-12	2023-01-12 17:17:09.493	2.0304e-12	2023-01-12 17:17:09.494	2.215e-13	2023-01-12 17:17:08.742	3.63e-14	2023-01-12 17:14:44.017	2.3865e-11
24	2023-01-12 17:17:18.819	6.086e-11	2023-01-12 17:17:15.818	7.746e-13	2023-01-12 17:17:15.818	1.278e-13	2023-01-12 17:17:15.818	3.474e-13	2023-01-12 17:17:15.817	1.918e-13	2023-01-12 17:17:15.817	5.783e-13	2023-01-12 17:17:15.818	1.3294e-12	2023-01-12 17:17:15.818	2.0226e-12	2023-01-12 17:17:15.819	1.931e-13	2023-01-12 17:17:15.067	2.73e-14	2023-01-12 17:14:44.017	2.40262e-11
25	2023-01-12 17:17:25.144	6.07789e-11	2023-01-12 17:17:22.143	7.836e-13	2023-01-12 17:17:22.143	1.127e-13	2023-01-12 17:17:22.143	3.334e-13	2023-01-12 17:17:22.142	1.721e-13	2023-01-12 17:17:22.142	6.393e-13	2023-01-12 17:17:22.143	1.3297e-12	2023-01-12 17:17:22.143	2.0603e-12	2023-01-12 17:17:22.144	1.958e-13	2023-01-12 17:17:21.392	3.02e-14	2023-01-12 17:14:44.017	2.408e-11
26	2023-01-12 17:17:31.469	6.10659e-11	2023-01-12 17:17:28.468	7.685e-13	2023-01-12 17:17:28.468	1.145e-13	2023-01-12 17:17:28.468	3.394e-13	2023-01-12 17:17:28.467	1.697e-13	2023-01-12 17:17:28.467	6.148e-13	2023-01-12 17:17:28.468	1.3498e-12	2023-01-12 17:17:28.468	2.0094e-12	2023-01-12 17:17:28.469	2.085e-13	2023-01-12 17:17:27.717	1.63e-14	2023-01-12 17:14:44.017	2.39725e-11
27	2023-01-12 17:17:37.794	6.11374e-11	2023-01-12 17:17:34.793	7.812e-13	2023-01-12 17:17:34.793	1.342e-13	2023-01-12 17:17:34.793	3.217e-13	2023-01-12 17:17:34.792	1.94e-13	2023-01-12 17:17:34.792	6.117e-13	2023-01-12 17:17:34.793	1.3766e-12	2023-01-12 17:17:34.793	2.0025e-12	2023-01-12 17:17:34.794	1.803e-13	2023-01-12 17:17:34.042	3.81e-14	2023-01-12 17:14:44.017	2.39725e-11
28	2023-01-12 17:17:44.119	6.11831e-11	2023-01-12 17:17:41.118	7.637e-13	2023-01-12 17:17:41.118	1.201e-13	2023-01-12 17:17:41.118	3.319e-13	2023-01-12 17:17:41.117	2.01e-13	2023-01-12 17:17:41.117	6.196e-13	2023-01-12 17:17:41.118	1.3432e-12	2023-01-12 17:17:41.118	2.0157e-12	2023-01-12 17:17:41.119	1.839e-13	2023-01-12 17:17:40.367	3.13e-14	2023-01-12 17:14:44.017	2.3865e-11
29	2023-01-12 17:17:50.444	6.07907e-11	2023-01-12 17:17:47.443	7.812e-13	2023-01-12 17:17:47.443	1.269e-13	2023-01-12 17:17:47.443	3.534e-13	2023-01-12 17:17:47.442	1.934e-13	2023-01-12 17:17:47.442	6.309e-13	2023-01-12 17:17:47.443	1.3428e-12	2023-01-12 17:17:47.443	2.0853e-12	2023-01-12 17:17:47.444	2.152e-13	2023-01-12 17:17:46.692	2.54e-14	2023-01-12 17:14:44.017	2.408e-11
30	2023-01-12 17:17:56.769	6.12917e-11	2023-01-12 17:17:53.768	7.899e-13	2023-01-12 17:17:53.768	1.212e-13	2023-01-12 17:17:53.768	3.135e-13	2023-01-12 17:17:53.767	1.84e-13	2023-01-12 17:17:53.767	6.163e-13	2023-01-12 17:17:53.768	1.3309e-12	2023-01-12 17:17:53.768	2.0724e-12	2023-01-12 17:17:53.769	2.143e-13	2023-01-12 17:17:53.017	2.51e-14	2023-01-12 17:14:44.017	2.39725e-11
31	2023-01-12 17:18:03.094	6.1412e-11	2023-01-12 17:18:00.093	7.872e-13	2023-01-12 17:18:00.093	1.029e-13	2023-01-12 17:18:00.093	3.468e-13	2023-01-12 17:18:00.092	2.144e-13	2023-01-12 17:18:00.093	6.126e-13	2023-01-12 17:18:00.093	1.2594e-12	2023-01-12 17:18:00.093	2.0436e-12	2023-01-12 17:18:00.094	2.004e-13	2023-01-12 17:17:59.342	2.57e-14	2023-01-12 17:14:44.017	2.365e-11
