ASCII SAMPLE CYCLES :			primary desorption, grid opaque.mdc
DATE :	10/10/2022	TIME :	09:57:53 pm
CONVERTED CYCLES :			363
Number of stored cycles			363
Printed start cycle			1
Printed end cycle			363
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	2.00	min:	5.41951E-011	max:	4.29319E-010	
'0/1'	12.00	min:	3.12211E-012	max:	2.99482E-011	
'0/2'	14.00	min:	8.42336E-013	max:	1.54614E-011	ABS A,B	T_min:	5E-007	T_max:	1E-008	
'0/3'	15.00	min:	8.04134E-013	max:	3.58094E-011	
'0/4'	16.00	min:	7.93774E-012	max:	5.77613E-011	ABS A AND B	T_min:	5E-007	
'0/5'	18.00	min:	7.90488E-011	max:	1.15856E-010	ABS A,B	T_min:	5E-007	T_max:	1E-008	
'0/6'	28.00	min:	1.16996E-011	max:	1.39434E-010	ABS A AND B	T_min:	5E-007	
'0/7'	32.00	min:	3.52664E-013	max:	5.90086E-013	ABS A	T_min:	5E-007	
'0/8'	40.00	min:	3.72538E-013	max:	1.82801E-012	ABS B	T_min:	5E-007	
'0/9'	44.00	min:	6.45608E-012	max:	4.24035E-011	ABS A,B	T_min:	5E-007	T_max:	1E-008	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	Threshold	'0/3'	'0/4'	Threshold	'0/5'	Threshold	'0/6'	Threshold	'0/7'	Threshold	'0/8'	Threshold	'0/9'	Threshold	
31	10/10/2022	10:03:32:13 pm	339.133	4.13391E-010	2.82081E-011	1.4672E-011	HL	3.3465E-011	5.51303E-011	L	1.13088E-010	HL	1.26503E-010	L	5.67185E-013	H	1.71899E-012	L	3.93873E-011	HL	
32	10/10/2022	10:03:43:21 pm	350.211	4.14053E-010	2.84345E-011	1.4852E-011	HL	3.38707E-011	5.54329E-011	L	1.13517E-010	HL	1.27407E-010	L	5.38295E-013	H	1.76458E-012	L	3.92831E-011	HL	
33	10/10/2022	10:03:54:34 pm	361.349	4.17542E-010	2.83499E-011	1.48978E-011	HL	3.40069E-011	5.55961E-011	L	1.13892E-010	HL	1.2849E-010	L	5.51279E-013	H	1.79746E-012	L	3.92574E-011	HL	
34	10/10/2022	10:04:05:42 pm	372.426	4.20581E-010	2.88081E-011	1.48525E-011	HL	3.43446E-011	5.58849E-011	L	1.13903E-010	HL	1.29452E-010	L	5.47418E-013	H	1.76909E-012	L	3.93692E-011	HL	
35	10/10/2022	10:04:16:43 pm	383.435	4.21824E-010	2.86705E-011	1.48358E-011	HL	3.43205E-011	5.6325E-011	L	1.14355E-010	HL	1.2967E-010	L	5.56525E-013	H	1.71814E-012	L	3.90531E-011	HL	
36	10/10/2022	10:04:27:51 pm	394.512	4.22311E-010	2.88863E-011	1.51734E-011	HL	3.46371E-011	5.62724E-011	L	1.14473E-010	HL	1.30304E-010	L	5.67717E-013	H	1.74644E-012	L	3.94334E-011	HL	
37	10/10/2022	10:04:38:59 pm	405.591	4.23579E-010	2.89928E-011	1.52146E-011	HL	3.48097E-011	5.67055E-011	L	1.13802E-010	HL	1.31239E-010	L	5.60977E-013	H	1.77027E-012	L	3.92184E-011	HL	
38	10/10/2022	10:04:49:65 pm	416.657	4.23619E-010	2.9277E-011	1.50658E-011	HL	3.49287E-011	5.66741E-011	L	1.1392E-010	HL	1.31891E-010	L	5.59622E-013	H	1.70966E-012	L	3.90636E-011	HL	
39	10/10/2022	10:05:00:66 pm	427.666	4.25588E-010	2.91668E-011	1.537E-011	HL	3.51244E-011	5.67901E-011	L	1.13328E-010	HL	1.3213E-010	L	5.47996E-013	H	1.74574E-012	L	3.90279E-011	HL	
40	10/10/2022	10:05:11:75 pm	438.753	4.26322E-010	2.91722E-011	1.52084E-011	HL	3.5218E-011	5.67266E-011	L	1.14352E-010	HL	1.32891E-010	L	5.56575E-013	H	1.78317E-012	L	3.90432E-011	HL	
